Removed Pin From Net: NetName=VBUS Pin=J2-10
Added Pin To Net: NetName=PGND Pin=C2-2
Added Pin To Net: NetName=VBUS Pin=J2-6
Added Pin To Net: NetName=PGND Pin=LD3-2
Added Pin To Net: NetName=PGND Pin=SW1-1
Added Pin To Net: NetName=PGND Pin=SW1-3
Added Pin To Net: NetName=PGND Pin=SW1-3
Added Pin To Net: NetName=PGND Pin=SW2-1
Added Pin To Net: NetName=PGND Pin=SW2-3
Added Pin To Net: NetName=PGND Pin=SW2-3
Added Pin To Net: NetName=PGND Pin=U1-2
Change Net Name : Old Net Name=PGND New Net Name=GND
